market,symbol,name,report_date,roe,roe_weighted,operating_margin,gross_margin,debt_to_assets,operating_cashflow_to_net_profit,operating_cashflow_to_revenue,asset_growth,net_profit_growth,revenue_growth,total_assets
A股,600519.SH,贵州茅台,2024-03-31,10.04,10.57,72.4347,,12.9543,0.3692,0.2007,10.5011,15.5989,18.1127,285524543268.38
A股,600519.SH,贵州茅台,2024-06-30,19.08,17.63,70.2432,,18.3242,0.8482,0.447,15.5639,15.6567,17.7575,279207261166.63
A股,600519.SH,贵州茅台,2024-09-30,25.59,26.09,69.5475,,13.6285,0.7047,0.3678,9.4226,14.9639,16.9537,286770722957.69
A股,600519.SH,贵州茅台,2024-12-31,36.99,36.02,70.0346,,19.0448,1.035,0.541,9.6241,15.2387,15.712,298944579918.7
A股,600519.SH,贵州茅台,2025-03-31,10.39,10.92,73.1935,,14.143,0.3172,0.1741,9.4017,11.6239,10.5415,312368697395.05
A股,600519.SH,贵州茅台,2025-06-30,19.03,17.89,70.2197,,14.7549,0.2792,0.1468,4.6741,8.8236,9.1032,292257789095.51
A股,600519.SH,贵州茅台,2025-09-30,25.14,24.64,69.6669,,12.8088,0.571,0.2974,6.2654,6.1356,6.3569,304738184929.86
A股,600519.SH,贵州茅台,2025-12-31,33.65,32.53,67.9994,,16.4154,0.7212,0.3644,1.6358,-4.5049,-1.206,303834844021.44
A股,600519.SH,贵州茅台,2026-03-31,10.06,10.57,69.63,,12.1227,0.9558,0.4992,2.4171,1.3653,6.538,319918844905.58
A股,300750.SZ,宁德时代,2024-03-31,5.06,5.18,16.7138,,68.4845,2.5329,0.3555,14.2272,11.0612,-10.4086,731286481500.0
A股,300750.SZ,宁德时代,2024-06-30,11.65,11.39,17.7221,,69.264,1.7971,0.2681,11.584,15.86,-11.8783,715251888900.0
A股,300750.SZ,宁德时代,2024-09-30,15.19,17.73,17.8061,,64.3338,1.7412,0.2604,9.8838,19.1196,-12.092,738235004400.0
A股,300750.SZ,宁德时代,2024-12-31,20.55,24.13,17.6933,,65.2382,1.7959,0.2679,9.6895,15.4953,-9.7039,786658123000.0
A股,300750.SZ,宁德时代,2025-03-31,5.34,5.49,20.4717,,64.7433,2.2116,0.388,12.1445,32.7448,6.185,820097269000.0
A股,300750.SZ,宁德时代,2025-06-30,10.34,11.63,21.7012,,62.5927,1.8133,0.3281,21.2414,30.0922,7.2673,867181431000.0
A股,300750.SZ,宁德时代,2025-09-30,15.6,17.76,21.3911,,61.2745,1.5424,0.2849,21.3817,35.018,9.2753,896082131000.0
A股,300750.SZ,宁德时代,2025-12-31,21.42,24.91,21.1277,,61.9393,1.7349,0.3144,23.9201,42.179,17.0406,974827544000.0
A股,300750.SZ,宁德时代,2026-03-31,5.8,5.98,20.639,,62.3223,1.4813,0.2608,27.586,52.993,52.4487,1046329036000.0
A股,000001.SZ,平安银行,2024-03-31,3.08,3.15,,,91.5248,-1.432,,5.0129,2.26,,5729398000000.0
A股,000001.SZ,平安银行,2024-06-30,5.37,5.79,,,91.6255,4.3944,,4.6088,1.938,,5754033000000.0
A股,000001.SZ,平安银行,2024-09-30,8.1,9.1,,,91.4641,3.4523,,4.1621,0.2372,,5745988000000.0
A股,000001.SZ,平安银行,2024-12-31,8.99,10.08,,,91.4228,1.423,,3.2603,-4.1912,,5769270000000.0
A股,000001.SZ,平安银行,2025-03-31,2.79,2.8,,,91.2405,11.5597,,0.8458,-5.5987,,5777858000000.0
A股,000001.SZ,平安银行,2025-06-30,4.88,5.25,,,91.318,7.0238,,2.1016,-3.8989,,5874961000000.0
A股,000001.SZ,平安银行,2025-09-30,7.4,8.28,,,91.0187,1.8723,,0.3616,-3.4987,,5766764000000.0
A股,000001.SZ,平安银行,2025-12-31,7.73,9.15,,,90.6985,7.4088,,2.7128,-4.2127,,5925777000000.0
A股,000001.SZ,平安银行,2026-03-31,2.67,2.83,,,90.983,2.6029,,4.4325,3.0292,,6033962000000.0
