date,market,symbol,name,open,close,high,low,volume,amount,pct_chg
2025-01-02,A股,600519.SH,贵州茅台,1472.443,1436.443,1472.933,1428.443,50029.0,,
2025-01-03,A股,600519.SH,贵州茅台,1442.943,1423.443,1443.433,1415.453,32628.0,,
2025-01-06,A股,600519.SH,贵州茅台,1401.443,1388.443,1411.103,1381.243,44255.0,,
2025-01-07,A股,600519.SH,贵州茅台,1393.103,1388.643,1400.333,1387.443,24221.0,,
2025-01-08,A股,600519.SH,贵州茅台,1388.443,1390.943,1400.263,1375.103,35258.0,,
2025-01-09,A股,600519.SH,贵州茅台,1397.433,1392.443,1413.023,1381.423,29706.0,,
2025-01-10,A股,600519.SH,贵州茅台,1395.543,1384.443,1400.393,1384.443,21872.0,,
2025-01-13,A股,600519.SH,贵州茅台,1373.443,1392.423,1392.883,1370.453,21083.0,,
2025-01-14,A股,600519.SH,贵州茅台,1393.393,1420.943,1427.123,1390.443,30957.0,,
2025-01-15,A股,600519.SH,贵州茅台,1415.443,1419.713,1423.043,1408.453,18399.0,,
2025-01-16,A股,600519.SH,贵州茅台,1422.443,1394.823,1431.103,1390.443,26342.0,,
2025-01-17,A股,600519.SH,贵州茅台,1394.833,1403.193,1409.443,1394.823,18309.0,,
2025-01-20,A股,600519.SH,贵州茅台,1409.443,1423.243,1438.233,1408.443,31410.0,,
2025-01-21,A股,600519.SH,贵州茅台,1429.443,1416.593,1430.443,1413.443,16856.0,,
2025-01-22,A股,600519.SH,贵州茅台,1411.713,1389.443,1416.393,1386.443,28294.0,,
2025-01-23,A股,600519.SH,贵州茅台,1398.413,1391.443,1416.443,1386.443,27125.0,,
2025-01-24,A股,600519.SH,贵州茅台,1390.443,1384.443,1396.233,1378.753,31360.0,,
2025-01-27,A股,600519.SH,贵州茅台,1385.443,1383.433,1392.413,1375.463,29356.0,,
2025-02-05,A股,600519.SH,贵州茅台,1388.443,1352.243,1391.443,1350.653,40757.0,,
2025-02-06,A股,600519.SH,贵州茅台,1348.453,1361.283,1370.433,1348.453,27356.0,,
2025-02-07,A股,600519.SH,贵州茅台,1362.123,1384.443,1391.123,1351.853,37242.0,,
2025-02-10,A股,600519.SH,贵州茅台,1386.443,1379.953,1388.443,1375.533,20840.0,,
2025-02-11,A股,600519.SH,贵州茅台,1383.393,1366.443,1384.403,1364.343,23573.0,,
2025-02-12,A股,600519.SH,贵州茅台,1366.443,1391.443,1393.443,1365.323,25476.0,,
2025-02-13,A股,600519.SH,贵州茅台,1391.463,1413.503,1423.693,1382.953,43385.0,,
2025-02-14,A股,600519.SH,贵州茅台,1413.503,1423.443,1425.443,1406.663,27100.0,,
2025-02-17,A股,600519.SH,贵州茅台,1429.443,1420.063,1443.423,1415.543,32471.0,,
2025-02-18,A股,600519.SH,贵州茅台,1418.443,1423.443,1441.433,1410.523,27800.0,,
2025-02-19,A股,600519.SH,贵州茅台,1423.493,1439.443,1442.883,1413.343,32393.0,,
2025-02-20,A股,600519.SH,贵州茅台,1431.443,1422.443,1440.413,1421.833,23750.0,,
2025-02-21,A股,600519.SH,贵州茅台,1428.443,1436.653,1445.173,1421.453,36418.0,,
2025-02-24,A股,600519.SH,贵州茅台,1436.443,1427.513,1447.963,1422.443,34744.0,,
2025-02-25,A股,600519.SH,贵州茅台,1418.453,1402.443,1421.833,1400.443,28387.0,,
2025-02-26,A股,600519.SH,贵州茅台,1403.893,1408.453,1413.403,1393.443,26366.0,,
2025-02-27,A股,600519.SH,贵州茅台,1408.463,1434.003,1438.343,1402.443,49762.0,,
2025-02-28,A股,600519.SH,贵州茅台,1433.943,1449.233,1476.823,1430.443,56129.0,,
2025-03-03,A股,600519.SH,贵州茅台,1451.043,1435.463,1469.433,1429.943,31596.0,,
2025-03-04,A股,600519.SH,贵州茅台,1433.443,1418.553,1434.443,1413.653,25211.0,,
2025-03-05,A股,600519.SH,贵州茅台,1420.443,1414.813,1422.443,1408.543,24605.0,,
2025-03-06,A股,600519.SH,贵州茅台,1422.443,1454.423,1458.643,1420.523,42168.0,,
2025-03-07,A股,600519.SH,贵州茅台,1451.443,1469.443,1476.803,1451.443,37991.0,,
2025-03-10,A股,600519.SH,贵州茅台,1468.253,1471.343,1475.323,1454.583,31369.0,,
2025-03-11,A股,600519.SH,贵州茅台,1465.443,1497.123,1497.123,1460.443,39776.0,,
2025-03-12,A股,600519.SH,贵州茅台,1495.403,1491.023,1498.123,1474.793,29604.0,,
2025-03-13,A股,600519.SH,贵州茅台,1492.443,1486.213,1503.943,1479.323,25724.0,,
2025-03-14,A股,600519.SH,贵州茅台,1496.103,1576.453,1576.453,1489.443,92913.0,,
2025-03-17,A股,600519.SH,贵州茅台,1605.443,1586.303,1606.433,1575.323,54689.0,,
2025-03-18,A股,600519.SH,贵州茅台,1593.483,1572.443,1600.443,1570.143,31613.0,,
2025-03-19,A股,600519.SH,贵州茅台,1572.733,1584.153,1596.443,1571.443,27390.0,,
2025-03-20,A股,600519.SH,贵州茅台,1584.153,1552.443,1586.043,1543.513,36737.0,,
2025-03-21,A股,600519.SH,贵州茅台,1547.443,1522.193,1560.643,1517.273,33614.0,,
2025-03-24,A股,600519.SH,贵州茅台,1518.443,1531.443,1538.103,1510.823,25566.0,,
2025-03-25,A股,600519.SH,贵州茅台,1536.443,1523.943,1541.243,1515.103,17674.0,,
2025-03-26,A股,600519.SH,贵州茅台,1521.213,1524.443,1531.023,1519.443,14324.0,,
2025-03-27,A股,600519.SH,贵州茅台,1524.443,1537.443,1546.693,1521.823,17956.0,,
2025-03-28,A股,600519.SH,贵州茅台,1539.373,1533.653,1541.443,1524.443,16228.0,,
2025-03-31,A股,600519.SH,贵州茅台,1529.423,1509.443,1535.403,1508.503,21085.0,,
